id,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,14.65,,,,,,,,9.64,,,,,,,,
ALB,,,,,,,,,,,,,,,,0.19,,,,,,0.39,,,0.18,,,0.07,,,,0.22,,,,
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,,,,,,0,0,,,,0.67,1.18,1.25,1.45,2.36,2.88,2.35,2.28,2.55,2.93,4.9,5.59,4.85,3.16,2.27,1.91,1.77,1.43,1.49,0.97,0.83,0.77,0.95,0.97,,
ARM,,,,,,,,,,,,,,,,4.82,,,4.07,,4.45,3.23,2.03,1.81,0.91,0.57,0.67,0.32,0.27,0.41,0.42,0.33,0.56,0.41,,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,,,,,,,,,,,,,,,2.18,,,,,,0.47,0,0,0,0,,,0.16,,,,,,,,
BDI,,,,,,,,,,,,36.79,,,,,,44.82,,,,,,,,32.88,,,,,,,,,,
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,,,,,,,,,,,,,,,,,,,,,,,16.25,,,,,,,,18.98,,,,,
BFA,,,,,,,,,,,,,,48.44,,,,42.99,,,,,23.71,,,,,,19.94,,,,,11.07,,
BGD,,,9.71,,7.38,,,11.23,,,11.34,,,,7.98,,,,,7.5,,,,,4.7,,,,,3.31,,,,,,
BGR,,,,,,,,,0.05,,,0,,0.23,0.31,,0.13,,,,0.42,,0.15,,,2.63,0.12,0.37,0.28,0.62,0.93,0.77,,,,
BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,,,,,,,,0.13,,,0.05,,,0.02,,,,0.02,,,,,
BLR,,,,,,,,0.08,,,,,0.02,,0.35,,,2.69,2.58,1.73,0.69,0.46,0.35,0.07,0.07,0.04,0,0,0.01,0,0,0,0,0,,
BLZ,,,,,,,,,,,,,5.02,4.53,4.64,5.37,7.83,5.96,6.22,,,,,,,,,,,,,,,,,
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
